siret,codePostalEtablissement,libelleCommuneEtablissement,longitude,latitude,denominationUniteLegale,categorieJuridiqueUniteLegale
04552004600025,20000,AJACCIO,8.627163,41.928813,EMPIRE,5499
04552004600041,20090,AJACCIO,8.737096,41.921135,EMPIRE,5499
04572003400060,20090,AJACCIO,8.740354,41.932483,OLLANDINI AUTOCARS DE TOURISME,5710
04572005900026,20167,AFA,8.798382,41.984061,BRULERIE CORSICA,5710
04572025700018,20000,AJACCIO,8.738404,41.916411,SOC DE GESTION DU CASINO D'AJACCIO,5710
04582001600041,20000,AJACCIO,8.738796,41.926082,SOC ORAZZI ET FILS,5499
04582001600058,20000,AJACCIO,8.738592,41.924589,SOC ORAZZI ET FILS,5499
04582008100029,20000,AJACCIO,8.738796,41.926082,STE COMMER INDUS IMMOB CORSE,5499
04582010700014,20090,AJACCIO,8.759329,41.927192,CORSOVIA,5710
04582010700022,20167,SARROLA-CARCOPINO,8.823581,41.974218,CORSOVIA,5710
04582011500025,20137,PORTO-VECCHIO,9.287506,41.608707,RAPIDES BLEUS,5499
04592007100011,20113,OLMETO,8.918317,41.692215,BRASSENS-FOLACCI,5499
04592007100037,20000,AJACCIO,8.655752,41.909311,BRASSENS-FOLACCI,5499
04602020200019,20110,PROPRIANO,8.915969,41.679748,HOTEL ROC E MARE,5499
04612017600022,20137,PORTO-VECCHIO,9.320517,41.56408,GOLFO DI SOGNO,5499
04632001600028,20167,AFA,8.809098,41.979118,SOCIETE DE CONSTRUCTION BEL-AIR,5499
04632003200033,20000,AJACCIO,8.757362,41.931744,ENTREPRISE PH. FILIPPINI ET COMPAGNIE,5499
04632011500010,20000,AJACCIO,8.739981,41.91807,CORSEMER,5499
04632020600017,20000,AJACCIO,8.725184,41.914415,ORGANIGRAM,5710
04632020600041,20090,AJACCIO,8.737222,41.917987,ORGANIGRAM,5710
04632020600058,20090,AJACCIO,8.737222,41.917987,ORGANIGRAM,5710
04632020600090,20166,GROSSETO-PRUGNA,8.788244,41.881768,ORGANIGRAM,5710
04642021200030,20167,SARROLA-CARCOPINO,8.835125,42.001796,RAFFALLI TRAVAUX PUBLICS,5499
04642021200048,20137,PORTO-VECCHIO,9.285511,41.562386,RAFFALLI TRAVAUX PUBLICS,5499
04652031800018,20167,AFA,1.8492779,50.9592652,METAL SUD,5499
04662024100011,20117,OCANA,8.922568,41.94151,VALICELLI CLINIQUE DIABETE ET NUTRITION,5710
04662026600067,20090,AJACCIO,8.740354,41.932483,OLLANDINI LOCATION VOITURES ET CAMIONS,5710
04662026600083,20114,FIGARI,9.11381,41.499298,OLLANDINI LOCATION VOITURES ET CAMIONS,5710
04662026600091,20090,AJACCIO,8.804378,41.929606,OLLANDINI LOCATION VOITURES ET CAMIONS,5710
04662026600133,20090,AJACCIO,8.791505,41.930472,OLLANDINI LOCATION VOITURES ET CAMIONS,5710
